ID,ResponseID,StartDate,Condition,ModelBonus,ModelAAEEstimate,HumanAAEEstimate,ModelConfidence,HumanConfidence,Age,Gender,Education,AAE,ModelAAE,HumanAAE,Bonus,BonusFromModel,BonusFromHuman,ChangesUsed,ChangesUsedMax10,CorrelationWithModel,AvDiffFromModel,AvAdjustmentSize,AdjustmentDividedByPotential,HumModelCorrelation,HumModelAvDiff,AvgLargest10Changes,Treatment,AnyBonus
54,R_2f9hRj0ORqiphI1,21/10/2014 13:21,4,.,10,15,4,3,18,0,3,20,18.05,20,2,2,2,.,.,0.923436675,8.15,8.15,8.15,0.923436675,8.15,12.6,1,1
55,R_2h13waqeJlrCMmh,21/10/2014 14:28,3,0,10,15,4,3,19,0,3,19.35,16.75,19.35,2,2,2,.,.,0.838079921,9.6,10.10526316,9.6,0.838079921,9.6,16.1,1,1
56,R_2h38DzjzPrZt1qJ,22/10/2014 13:37,3,1,17.5,15,3,3,21,0,3,16.65,14.95,16.65,2,3,2,6,6,0.931070444,4.7,15.66666667,9.4,0.931070444,4.7,9.4,1,1
57,R_2lSUOhfpMd3LZnD,20/10/2014 13:43,4,.,5,10,4,3,28,0,5,14.85,17,14.85,3,2,3,.,.,0.973692411,5.65,5.65,5.65,0.973692411,5.65,8.1,1,1
58,R_2mzsZWj3VJXIG4R,22/10/2014 12:33,1,0,20,15,2,3,20,0,3,21.3,21.2,21.3,1,1,1,.,.,0.619975571,18.8,18.8,18.8,0.619975571,18.8,26.3,0,1
59,R_2oCbiTZdIMzr2Xr,20/10/2014 15:25,2,1,19,15,3,3,18,0,3,16.8,16,16.8,2,2,2,.,.,0.976569855,6.6,6.947368421,6.6,0.976569855,6.6,9.2,1,1
60,R_2oDZQjygDV62Jvv,22/10/2014 12:40,2,1,10,8,4,3,.,.,.,18.6,17.9,18.6,2,2,2,.,.,0.977421608,4.1,4.823529412,4.1,0.977421608,4.1,6.7,1,1
61,R_2oFE9WwPLc2BmKh,20/10/2014 13:27,4,.,5,5,3,4,27,1,6,24.4,20.1,24.4,1,1,1,.,.,0.558463808,21.7,21.7,21.7,0.558463808,21.7,32.2,1,1
62,R_2oueZIai1vxjR2t,20/10/2014 13:29,3,0,17,15,2,2,18,0,3,23.5,19.25,23.5,1,2,1,.,.,0.713522285,14.45,15.21052632,14.45,0.713522285,14.45,23.2,1,1
63,R_2rVKVb93du4lyFT,20/10/2014 14:31,3,1,17.5,5,4,4,21,0,3,21.85,16.75,21.85,1,2,1,5,5,0.81261171,6.6,26.4,13.2,0.81261171,6.6,13.2,1,1
64,R_2smhOWWDl5iH3KJ,21/10/2014 12:39,3,1,15,15,3,2,19,0,3,18.3,18,18.3,2,2,2,9,9,0.90884067,6.2,13.77777778,12.4,0.90884067,6.2,12.4,1,1
65,R_2toiktE4BqtTbx3,22/10/2014 13:35,4,.,10,10,4,4,19,0,3,20.5,17.6,20.5,1,2,1,.,.,0.813822243,8.7,9.157894737,8.7,0.813822243,8.7,14.7,1,1
66,R_3aStb8CGuxT662h,22/10/2014 12:31,1,1,20,25,2,2,18,1,3,18.15,18.15,27.95,2,2,0,.,.,1,0,0,0,0.641910169,23.9,0,0,1
67,R_3aUX3HSWCVZ0n77,21/10/2014 12:36,1,1,75,40,3,2,36,0,3,18.1,18.1,26.3,2,2,0,.,.,1,0,0,0,0.469586239,12.4,0,0,1
68,R_3aVMc27rvIkLXEx,22/10/2014 14:22,4,.,15,20,4,3,19,0,2,14.95,18.75,14.95,3,2,3,.,.,0.908534187,7.6,8.444444444,7.6,0.908534187,7.6,11.2,1,1
69,R_3C3wzDJ0u61GRF3,23/10/2014 13:22,4,.,15,12,3,2,21,1,3,16.7,18.15,16.7,2,2,2,.,.,0.876183135,6.55,6.55,6.55,0.876183135,6.55,10.3,1,1
70,R_3DkFdSYURLblV89,21/10/2014 13:33,3,1,12,18,4,3,18,0,3,16.6,15.7,16.6,2,2,2,6,6,0.931887359,2.8,9.333333333,5.6,0.931887359,2.8,5.6,1,1
71,R_3dvYG5PigLVw91P,21/10/2014 12:20,4,.,10,10,4,3,27,0,5,20.05,17.45,20.05,1,2,1,.,.,0.928713033,8.2,8.2,8.2,0.928713033,8.2,11.9,1,1
72,R_3dWPTBBFWN8ngyx,20/10/2014 13:24,4,.,20,15,3,3,18,0,3,25.15,19.4,25.15,0,2,0,.,.,0.790888648,12.05,12.05,12.05,0.790888648,12.05,18.3,1,0
73,R_3DxbiGcR1EHWAxn,20/10/2014 15:25,1,0,13,15,4,3,18,0,3,21.5,17.6,21.5,1,2,1,.,.,0.717576528,19.5,19.5,19.5,0.717576528,19.5,29.5,0,1
74,R_3faTCyaC4zM58YB,21/10/2014 12:32,1,0,17.5,25,3,2,19,0,3,18.55,18.85,18.55,2,2,2,.,.,0.711373215,10.9,11.47368421,10.9,0.711373215,10.9,16.8,0,1
75,R_3JVJFNSe9wqXJzf,20/10/2014 14:22,3,1,18,10,3,4,20,0,3,19.2,17.45,19.2,2,2,2,11,10,0.918247992,5.55,11.1,11.1,0.915457701,5.95,11.1,1,1
76,R_3JX6E4QRxmcjqnz,20/10/2014 13:26,3,1,13,17,3,2,25,1,7,21.25,20.1,21.25,1,1,1,10,10,0.924029421,5.25,10.5,10.5,0.924029421,5.25,10.5,1,1
77,R_3l9jpNKX5mZNH1j,20/10/2014 15:24,4,.,10,15,3,2,18,0,3,19,17.5,19,2,2,2,.,.,0.876081063,9.2,9.2,9.2,0.876081063,9.2,14,1,1
78,R_3lALclfVqWBKQQZ,22/10/2014 14:24,1,0,17,35,3,1,26,0,5,26,18.8,26,0,2,0,.,.,0.569887296,15,15.78947368,15,0.569887296,15,24,0,0
79,R_3ldNx88blOy7nXT,22/10/2014 13:34,1,1,17,20,4,2,44,0,6,18.6,18.6,27.05,2,2,0,.,.,1,0,0,0,0.698677487,17.15,0,0,1
80,R_3OzoEupzDQgBEW1,21/10/2014 14:44,4,.,20,15,3,4,20,1,3,19.55,17.75,19.55,2,2,2,.,.,0.767402218,12.9,12.9,12.9,0.767402218,12.9,19.1,1,1
81,R_3pHTaUQ5GprP6Op,20/10/2014 13:31,1,0,15,20,4,3,18,1,3,23.55,18.7,23.55,1,2,1,.,.,0.761154966,14.85,15.63157895,14.85,0.761154966,14.85,25.6,0,1
82,R_3pJpQcLlQOgnEcR,21/10/2014 12:24,4,.,10,12,4,4,36,0,5,22.2,16.4,22.2,1,2,1,.,.,0.619281815,12.8,14.22222222,12.8,0.619281815,12.8,21.3,1,1
83,R_3QL1nke1Etb73oh,22/10/2014 13:39,1,1,15,35,4,1,27,0,6,16.9,16.9,20.35,2,2,1,.,.,1,0,0,0,0.716228263,16.75,0,0,1
84,R_3R7aA7ByvNQijaZ,22/10/2014 14:46,2,1,5,20,4,3,21,0,3,17.15,18.25,17.15,2,2,2,.,.,0.942453694,5.7,6,5.7,0.942453694,5.7,8.1,1,1
85,R_3r7jIBLLsCz74Db,21/10/2014 14:28,2,1,5,20,4,3,49,0,6,20.1,19.95,20.1,1,2,1,.,.,0.970621391,3.85,4.529411765,3.85,0.970621391,3.85,6,1,1
86,R_3rqCB18Ts2T5MNv,21/10/2014 14:37,1,0,20,20,4,3,22,1,5,22.75,19.65,22.75,1,2,1,.,.,0.714276153,13.3,13.3,13.3,0.714276153,13.3,20.7,0,1
87,R_3UgQEmp7o2QTTQ9,23/10/2014 14:31,3,1,18,30,4,2,23,0,5,17.2,17.9,17.2,2,2,2,8,8,0.960092664,3.8,9.5,7.6,0.960092664,3.8,7.6,1,1
